"","Station_ID","Station_Name","Go_live_date","Status","start_lat","start_lon"
"1",3000,"Virtual Station","4/23/2015","Active",NA,NA
"2",3004,"Municipal Services Building Plaza","4/23/2015","Active",39.953781,-75.163742
"3",3005,"Welcome Park, NPS","4/23/2015","Active",39.94733,-75.144028
"4",3006,"40th & Spruce","4/23/2015","Active",39.952202,-75.20311
"5",3007,"11th & Pine, Kahn Park","4/23/2015","Active",39.945171,-75.159927
"6",3008,"Temple University Station","4/23/2015","Active",39.980782,-75.150551
"7",3009,"33rd & Market","4/23/2015","Active",39.955761,-75.189819
"8",3010,"15th & Spruce","4/23/2015","Active",39.947109,-75.166183
"9",3011,"38th & Powelton","4/23/2015","Active",39.959492,-75.196899
"10",3011,"38th & Powelton","4/23/2015","Active",39.959671,-75.196487
"11",3012,"21st & Catharine","4/23/2015","Active",39.942181,-75.177467
"12",3013,"6th & Fairmount","4/23/2015","Active",39.963169,-75.147919
"13",3014,"21st & Winter, Franklin Institute","4/23/2015","Active",39.958858,-75.173691
"14",3015,"4th & Walnut, NPS","4/23/2015","Active",39.94735,-75.148857
"15",3016,"11th & Poplar, John F. Street Community Center","4/23/2015","Active",39.968922,-75.154701
"16",3017,"6th & Berks","4/23/2015","Active",39.98003,-75.143707
"17",3018,"12th & Filbert","4/29/2015","Active",39.952728,-75.15979
"18",3019,"6th & Race","4/29/2015","Active",39.954029,-75.149834
"19",3020,"University City Station","4/23/2015","Active",39.949219,-75.190361
"20",3021,"18th & JFK","4/23/2015","Active",39.953899,-75.169022
"21",3022,"Amtrak 30th Street Station","4/23/2015","Active",39.95472,-75.183228
"22",3023,"Rittenhouse Square","4/23/2015","Inactive",39.950481,-75.172859
"23",3024,"43rd & Chester, Clark Park","4/23/2015","Active",39.948219,-75.209084
"24",3025,"11th & Washington","4/23/2015","Active",39.937241,-75.161201
"25",3026,"2nd & South","4/23/2015","Inactive",39.94138,-75.145638
"26",3027,"40th Street Station, MFL","4/23/2015","Inactive",39.95694,-75.200691
"27",3028,"4th & Bainbridge","4/23/2015","Active",39.940609,-75.149582
"28",3029,"36th & Sansom","4/23/2015","Active",39.9538,-75.194794
"29",3030,"Darien & Catharine","4/23/2015","Active",39.93935,-75.157158
"30",3031,"13th & Montgomery","4/23/2015","Active",39.980049,-75.15522
"31",3032,"23rd & South","4/23/2015","Active",39.945271,-75.17971
"32",3033,"10th & Chestnut","4/23/2015","Active",39.95005,-75.156723
"33",3034,"11th & Reed","4/23/2015","Active",39.933151,-75.162483
"34",3035,"Dornsife Center","7/31/2015","Active",39.962711,-75.194191
"35",3036,"2nd & Germantown","4/23/2015","Inactive",39.968441,-75.140007
"36",3037,"Pennsylvania Convention Center","4/29/2015","Active",39.954239,-75.161377
"37",3038,"The Children's Hospital of Philadelphia (CHOP)","4/23/2015","Active",39.947811,-75.194092
"38",3039,"Broad & Girard","4/23/2015","Active",39.97121,-75.159698
"39",3040,"17th & Spring Garden","4/23/2015","Active",39.962891,-75.166061
"40",3041,"Girard Station, MFL","4/23/2015","Active",39.968491,-75.13546
"41",3043,"18th & Fernon, Aquinas Center","4/23/2015","Active",39.93082,-75.174744
"42",3045,"13th & Locust","4/28/2015","Active",39.947922,-75.162369
"43",3046,"2nd & Market","4/23/2015","Active",39.950119,-75.144722
"44",3047,"Independence Mall, NPS","4/23/2015","Active",39.95071,-75.149208
"45",3048,"Broad & Fitzwater","4/23/2015","Inactive",NA,NA
"46",3049,"Foglietta Plaza","4/23/2015","Active",39.945091,-75.142502
"47",3050,"9th & Arch","4/23/2015","Active",39.953388,-75.154259
"48",3051,"23rd & Fairmount","4/23/2015","Active",39.967442,-75.175072
"49",3052,"9th & Locust","4/23/2015","Active",39.947319,-75.156952
"50",3053,"Point Breeze & Tasker","4/23/2015","Active",39.932308,-75.181541
"51",3054,"Rodin Museum","4/23/2015","Active",39.962502,-75.174202
"52",3055,"8th & Market","4/28/2015","Active",39.951118,-75.154572
"53",3056,"Broad & Oxford","4/23/2015","Active",39.976688,-75.158127
"54",3057,"Philadelphia Museum of Art","4/23/2015","Active",39.964581,-75.180031
"55",3057,"Philadelphia Museum of Art","4/23/2015","Active",39.964439,-75.179947
"56",3057,"Philadelphia Museum of Art","4/23/2015","Active",39.96439,-75.179871
"57",3058,"20th & Fairmount","4/23/2015","Active",39.967159,-75.170013
"58",3059,"Spring Garden Station, BSL","4/23/2015","Active",39.96265,-75.161743
"59",3059,"Spring Garden Station, BSL","4/23/2015","Active",39.96244,-75.161209
"60",3060,"Free Library of Philadelphia - Central Library","4/23/2015","Active",39.959229,-75.170357
"61",3061,"23rd & Market","4/23/2015","Active",39.95425,-75.177612
"62",3062,"24th & Sansom","4/23/2015","Active",39.951969,-75.179428
"63",3063,"17th & Pine","4/23/2015","Active",39.946331,-75.1698
"64",3064,"18th & Washington, Chew Playground","4/23/2015","Active",39.9384,-75.173271
