"","GEOID","B01003_001 POP","B19013_001 INCOME","B02001_002 RACE_W","B02001_003 RACE_B","B08134_111 CM_BIKE","B08134_011 CM_CAR","B08134_061 CM_PUB","B08134_101 CM_WALK","B08016_001 WORKERS16","ctract"
"1","42101000100",4118,103585,3525,274,29,1233,1015,431,3065,"000100"
"2","42101000200",2860,49871,656,123,75,360,374,716,1577,"000200"
"3","42101000300",3385,86296,2317,240,35,518,289,929,2001,"000300"
"4","42101000401",2516,62986,1641,286,96,383,267,640,1578,"000401"
"5","42101000402",4097,78947,3356,214,55,708,441,1063,2387,"000402"
"6","42101000500",2543,45438,1001,837,21,163,267,381,916,"000500"
"7","42101000600",1222,84632,989,108,44,186,202,361,829,"000600"
"8","42101000700",3736,66923,2490,429,116,566,750,1053,2619,"000700"
"9","42101000801",1514,127849,1337,11,110,218,81,508,984,"000801"
"10","42101000803",2774,63974,2260,100,94,173,343,963,1779,"000803"
"11","42101000804",4899,108293,3953,111,262,548,524,1511,3316,"000804"
"12","42101000901",2056,48929,1563,92,61,272,296,741,1404,"000901"
"13","42101000902",2818,60268,2007,176,48,387,307,526,1388,"000902"
"14","42101001001",2670,106667,2455,67,78,431,273,454,1356,"001001"
"15","42101001002",3444,113431,3102,98,161,839,436,467,2073,"001002"
"16","42101001101",3750,65924,2773,390,121,624,459,733,2303,"001101"
"17","42101001102",2687,82107,1959,257,153,506,461,603,1872,"001102"
"18","42101001201",4038,122417,3174,256,377,616,422,1141,2692,"001201"
"19","42101001202",5215,86667,4358,233,298,791,631,1268,3310,"001202"
"20","42101001300",6911,118351,4498,1555,803,1436,725,1226,4429,"001300"
"21","42101001400",4199,83317,2750,974,414,883,316,897,2708,"001400"
"22","42101001500",3227,71174,2309,449,197,492,439,779,2109,"001500"
"23","42101001600",2371,102778,2080,76,105,700,411,251,1633,"001600"
"24","42101001700",3114,108750,2643,240,222,759,359,366,1996,"001700"
"25","42101001800",3138,104821,2363,547,261,817,196,675,2085,"001800"
"26","42101001900",4039,117927,2522,1265,282,822,482,873,2641,"001900"
"27","42101002000",1828,49572,588,1044,187,358,355,222,1156,"002000"
"28","42101002100",2221,56625,849,1228,119,608,252,252,1330,"002100"
"29","42101002200",2263,65368,1117,862,137,392,492,283,1405,"002200"
"30","42101002300",2918,70926,2202,85,316,540,610,247,1728,"002300"
"31","42101002400",4647,90682,3512,373,563,1088,420,611,2880,"002400"
"32","42101002500",4243,60000,2461,775,148,1053,467,206,2062,"002500"
