STREET,INTERSECTI,ADDRESS,LONG.,LAT.
BROAD ST,S PENN SQ,S BROAD ST & S PENN SQ,-75.16402480980,39.95162917160
MARKET ST,20TH ST,MARKET ST & N 20TH ST,-75.17317748970,39.95357262870
LOMBARD ST,8TH ST,LOMBARD ST & S 8TH ST,-75.15526827990,39.94341632610
20TH ST,CHESTNUT ST,S 20TH ST & CHESTNUT ST,-75.17349065830,39.95205378130
JFK BLVD,17TH ST,JOHN F KENNEDY BLVD & N 17TH ST,-75.16821465930,39.95400633090
JFK BLVD,18TH ST,JOHN F KENNEDY BLVD & N 18TH ST,-75.16978956800,39.95419623690
BROAD ST,CHERRY ST,N BROAD ST & CHERRY ST,-75.16301596710,39.95534633000
21ST ST,MARKET ST,N 21ST ST & MARKET ST,-75.17508762650,39.95380153950
MARKET ST,21ST ST,MARKET ST & N 21ST ST,-75.17508762650,39.95380153950
12TH ST,WALNUT ST,S 12TH ST & WALNUT ST,-75.16053818310,39.94888177680
SOUTH ST,23RD ST,SOUTH ST & S 23RD ST,-75.17973344000,39.94541502660
JFK BLVD,19TH ST,JOHN F KENNEDY BLVD & N 19TH ST,-75.17136676960,39.95438127840
VINE ST,20TH ST,VINE ST & N 20TH ST,-75.17191187630,39.95928991190
19TH ST,CHESTNUT ST,S 19TH ST & CHESTNUT ST,-75.17191652610,39.95185711740
11TH ST,WALNUT ST,S 11TH ST & WALNUT ST,-75.15896641670,39.94868229130
19TH ST,VINE ST,N 19TH ST & VINE ST,-75.17034291050,39.95909200190
SPRING GARDEN ST,BROAD ST,SPRING GARDEN ST & N BROAD ST,-75.16138425000,39.96247527080
LOMBARD ST,12TH ST,LOMBARD ST & S 12TH ST,-75.16155618740,39.94419743700
MARKET ST,4TH ST,MARKET ST & N 4TH ST,-75.14725816700,39.95037181310
16TH ST,SPRING GARDEN ST,N 16TH ST & SPRING GARDEN ST,-75.16468388930,39.96279320470
22ND ST,CHESTNUT ST,S 22ND ST & CHESTNUT ST,-75.17700204810,39.95249506410
21ST ST,WINTER ST,N 21ST ST & WINTER ST,-75.17394799820,39.95900447860
S. MATTIS ST,DOCK ST,38TH PARALLEL PL & DOCK ST,-75.14378838050,39.94533962240
11TH ST,LOCUST ST,S 11TH ST & LOCUST ST,-75.15921192670,39.94754555780
LOMBARD ST,17TH ST,LOMBARD ST & S 17TH ST,-75.17010529240,39.94526857740
4TH ST,MARKET ST,N 4TH ST & MARKET ST,-75.14725816700,39.95037181310
MARKET ST,5TH ST,MARKET ST & N 5TH ST,-75.14891845540,39.95055537820
VINE ST,19TH ST,VINE ST & N 19TH ST,-75.17034291050,39.95909200190
BROAD ST,SPRING GARDEN ST,N BROAD ST & SPRING GARDEN ST,-75.16138425000,39.96247527080
ARCH ST,20TH ST,ARCH ST & N 20TH ST,-75.17278494660,39.95560585860
11TH ST,LOMBARD ST,S 11TH ST & LOMBARD ST,-75.15998554410,39.94401026650
SPRING GARDEN ST,17TH ST,SPRING GARDEN ST & N 17TH ST,-75.16625245060,39.96299169670
19TH ST,JFK BLVD,N 19TH ST & JOHN F KENNEDY BLVD,-75.17136676960,39.95438127840
BROAD ST,ARCH ST,N BROAD ST & ARCH ST,-75.16321579680,39.95442583190
8TH ST,ARCH ST,N 8TH ST & ARCH ST,-75.15314474210,39.95315474930
BROAD ST,CALLOWHILL ST,N BROAD ST & CALLOWHILL ST,-75.16209185410,39.95960821940
ARCH ST,4TH ST,ARCH ST & N 4TH ST,-75.14680649240,39.95237076240
4TH ST,ARCH ST,N 4TH ST & ARCH ST,-75.14680649240,39.95237076240
MARKET ST,SCHUYLKILL AVE,MARKET ST & N SCHUYLKILL AVE W,-75.18121949660,39.95459533750
ARCH ST,19TH ST,ARCH ST & N 19TH ST,-75.17113448220,39.95539520550
ARCH ST,7TH ST,ARCH ST & N 7TH ST,-75.15154008630,39.95294970240
20TH ST,COMMERCE ST,N 20TH ST & COMMERCE ST,-75.17306678700,39.95420950740
JFK BLVD,20TH ST,JOHN F KENNEDY BLVD & N 20TH ST,-75.17300469450,39.95455427030
JFK BLVD,15TH,JOHN F KENNEDY BLVD & N 15TH ST,-75.16506447100,39.95360997090
15TH ST,MARKET ST,N 15TH ST & MARKET ST,-75.16522793890,39.95257774550
16th ST,MARKET ST,N 16TH ST & MARKET ST,-75.16685749440,39.95278012000
22ND ST,WINTER ST,N 22ND ST & WINTER ST,-75.17553765310,39.95919304180
29TH ST,MARKET ST,MARKET ST & N SCHUYLKILL AVE W,-75.18121949660,39.95459533750
SPRING GARDEN ST,7TH ST,SPRING GARDEN ST & N 7TH ST,-75.14984269660,39.96136203150
SPRING GARDEN ST,8TH ST,SPRING GARDEN ST & N 8TH ST,-75.15179240710,39.96144492870
ARCH ST,11TH ST,ARCH ST & N 11TH ST,-75.15786430080,39.95374946990
17TH ST,MARKET ST,N 17TH ST & MARKET ST,-75.16844424100,39.95297694780
23RD ST,CHESTNUT ST,S 23RD ST & CHESTNUT ST,-75.17814958900,39.95263442630
22ND ST,SOUTH ST,S 22ND ST & SOUTH ST,-75.17857828910,39.94527024410
8TH ST,RACE ST,N 8TH ST & RACE ST,-75.15273564970,39.95500997390
11TH ST,CHESTNUT ST,S 11TH ST & CHESTNUT ST,-75.15863406140,39.95020405060
16TH ST,CHESTNUT ST,S 16TH ST & CHESTNUT ST,-75.16719569080,39.95126484250
BROAD ST,PINE ST,S BROAD ST & PINE ST,-75.16515401530,39.94555823950
JFK BLVD,15TH ST,JOHN F KENNEDY BLVD & N 15TH ST,-75.16506447100,39.95360997090
COLUMBUS BLVD,DOCK ST,COLUMBUS BLVD & DOCK ST,-75.14205631330,39.94512540330
7TH ST,CHESTNUT ST,S 7TH ST & CHESTNUT ST,-75.15233707680,39.94942255430
8TH ST,MARKET ST,N 8TH ST & MARKET ST,-75.15358353220,39.95112816420
16TH ST,JFK BLVD,N 16TH ST & JOHN F KENNEDY BLVD,-75.16661761920,39.95379915750
