"","start_station","end_station","volume"
"1","10th & Chestnut","10th & Chestnut",894
"2","10th & Federal","10th & Chestnut",233
"3","11th & Market","10th & Chestnut",266
"4","11th & Pine, Kahn Park","10th & Chestnut",217
"5","11th & Poplar, John F. Street Community Center","10th & Chestnut",19
"6","11th & Reed","10th & Chestnut",157
"7","11th & South","10th & Chestnut",456
"8","11th & Washington","10th & Chestnut",170
"9","12th & Callowhill","10th & Chestnut",148
"10","12th & Chestnut","10th & Chestnut",242
"11","12th & Filbert","10th & Chestnut",147
"12","12th & Normandy","10th & Chestnut",0
"13","12th & Passyunk","10th & Chestnut",179
"14","13th & Locust","10th & Chestnut",201
"15","13th & Montgomery","10th & Chestnut",44
"16","15th & Castle, DiSilvestro Playground","10th & Chestnut",29
"17","15th & Kitty Hawk","10th & Chestnut",2
"18","15th & Market","10th & Chestnut",169
"19","15th & South","10th & Chestnut",275
"20","15th & Spruce","10th & Chestnut",245
"21","16th & Arch","10th & Chestnut",38
"22","16th & Chestnut","10th & Chestnut",121
"23","17th & Girard","10th & Chestnut",22
"24","17th & Green","10th & Chestnut",186
"25","17th & JFK","10th & Chestnut",20
"26","17th & Locust","10th & Chestnut",134
"27","17th & Pine","10th & Chestnut",184
"28","17th & Sansom","10th & Chestnut",112
"29","17th & Spring Garden","10th & Chestnut",555
"30","18th & Chestnut","10th & Chestnut",80
"31","18th & Christian","10th & Chestnut",16
"32","18th & Fernon, Aquinas Center","10th & Chestnut",34
"33","18th & JFK","10th & Chestnut",490
"34","18th & JFK Curbside","10th & Chestnut",129
"35","18th & Washington, Chew Playground","10th & Chestnut",152
"36","19th & Girard, PTTI","10th & Chestnut",183
"37","19th & Lombard","10th & Chestnut",223
"38","19th & Market","10th & Chestnut",145
"39","20th & Fairmount","10th & Chestnut",333
"40","20th & Market","10th & Chestnut",152
"41","20th & Race","10th & Chestnut",56
"42","20th & Sansom","10th & Chestnut",632
"43","21st & Catharine","10th & Chestnut",207
"44","21st & Winter, Franklin Institute","10th & Chestnut",121
"45","22nd & Cecil B. Moore","10th & Chestnut",52
"46","22nd & Federal","10th & Chestnut",39
"47","23rd & Fairmount","10th & Chestnut",309
"48","23rd & Market","10th & Chestnut",69
"49","23rd & South","10th & Chestnut",92
"50","24th & Cecil B. Moore, Cecil B. Moore Library","10th & Chestnut",0
