"","start_station","start_station_name","start_lat","start_lon","start_station_volume","start_station_use"
"1","3004","Municipal Services Building Plaza",39.953781,-75.163742,17957,"fair utilization"
"2","3005","Welcome Park, NPS",39.94733,-75.144028,11405,"underutilized"
"3","3006","40th & Spruce",39.9522,-75.20311,15581,"fair utilization"
"4","3007","11th & Pine, Kahn Park",39.945171,-75.159927,32161,"adequate utilization"
"5","3008","Temple University Station",39.980782,-75.150551,6769,"underutilized"
"6","3009","33rd & Market",39.955761,-75.189819,24504,"fair utilization"
"7","3010","15th & Spruce",39.947109,-75.166183,47829,"adequate utilization"
"8","3011","38th & Powelton",39.95949,-75.1969,21688,"fair utilization"
"9","3012","21st & Catharine",39.942181,-75.177467,31395,"adequate utilization"
"10","3013","6th & Fairmount",39.963169,-75.147919,14054,"underutilized"
"11","3014","21st & Winter, Franklin Institute",39.95886,-75.17369,5712,"underutilized"
"12","3015","4th & Walnut, NPS",39.94735,-75.148857,16718,"fair utilization"
"13","3016","11th & Poplar, John F. Street Community Center",39.968922,-75.154701,3409,"underutilized"
"14","3017","6th & Berks",39.98003,-75.143707,4433,"underutilized"
"15","3018","12th & Filbert",39.952728,-75.15979,23614,"fair utilization"
"16","3019","6th & Race",39.954029,-75.149834,10210,"underutilized"
"17","3020","University City Station",39.949219,-75.190361,30210,"adequate utilization"
"18","3021","18th & JFK",39.953899,-75.169022,34623,"adequate utilization"
"19","3022","Amtrak 30th Street Station",39.95472,-75.183228,29352,"adequate utilization"
"20","3023","Rittenhouse Square",39.950481,-75.172859,10592,"underutilized"
"21","3024","43rd & Chester, Clark Park",39.948219,-75.209084,11587,"underutilized"
"22","3025","11th & Washington",39.937241,-75.161201,16644,"fair utilization"
"23","3026","2nd & South",39.94138,-75.145638,16325,"fair utilization"
"24","3027","40th Street Station, MFL",39.95694,-75.200691,5826,"underutilized"
"25","3028","4th & Bainbridge",39.940609,-75.149582,30319,"adequate utilization"
"26","3029","36th & Sansom",39.9538,-75.194794,22001,"fair utilization"
"27","3030","Darien & Catharine",39.93935,-75.157158,18280,"fair utilization"
"28","3031","13th & Montgomery",39.980049,-75.15522,13047,"underutilized"
"29","3032","23rd & South",39.945271,-75.17971,37754,"adequate utilization"
"30","3033","10th & Chestnut",39.95005,-75.156723,19289,"fair utilization"
"31","3034","11th & Reed",39.933151,-75.162483,16961,"fair utilization"
"32","3035","Dornsife Center",39.962711,-75.194191,10719,"underutilized"
"33","3036","2nd & Germantown",39.968441,-75.140007,2415,"underutilized"
"34","3037","Pennsylvania Convention Center",39.954239,-75.161377,19516,"fair utilization"
"35","3038","The Children's Hospital of Philadelphia (CHOP)",39.947811,-75.194092,24199,"fair utilization"
"36","3039","Broad & Girard",39.97121,-75.159698,14276,"underutilized"
"37","3040","17th & Spring Garden",39.962891,-75.166061,22714,"fair utilization"
"38","3041","Girard Station, MFL",39.968491,-75.13546,11813,"underutilized"
"39","3043","18th & Fernon, Aquinas Center",39.93082,-75.17474,14700,"underutilized"
"40","3045","13th & Locust",39.947922,-75.162369,39095,"adequate utilization"
"41","3046","2nd & Market",39.950119,-75.144722,27543,"adequate utilization"
"42","3047","Independence Mall, NPS",39.95071,-75.149208,23040,"fair utilization"
"43","3049","Foglietta Plaza",39.945091,-75.142502,15717,"fair utilization"
"44","3050","9th & Arch",39.953388,-75.154259,17413,"fair utilization"
"45","3051","23rd & Fairmount",39.967442,-75.175072,21487,"fair utilization"
"46","3052","9th & Locust",39.947319,-75.156952,35536,"adequate utilization"
"47","3053","Point Breeze & Tasker",39.932308,-75.181541,18770,"fair utilization"
"48","3054","Rodin Museum",39.962502,-75.174202,43395,"adequate utilization"
"49","3055","8th & Market",39.951118,-75.154572,18047,"fair utilization"
"50","3056","Broad & Oxford",39.976688,-75.158127,19145,"fair utilization"
"51","3057","Philadelphia Museum of Art",39.964581,-75.180031,210999,"max utilization"
"52","3058","20th & Fairmount",39.967159,-75.170013,24557,"fair utilization"
"53","3059","Spring Garden Station, BSL",39.96265,-75.161743,44430,"adequate utilization"
"54","3060","Free Library of Philadelphia - Central Library",39.959229,-75.170357,14491,"underutilized"
"55","3061","23rd & Market",39.95425,-75.177612,23710,"fair utilization"
"56","3062","24th & Sansom",39.95197,-75.17943,14484,"underutilized"
"57","3063","17th & Pine",39.946331,-75.1698,22399,"fair utilization"
"58","3064","18th & Washington, Chew Playground",39.9384,-75.173271,23001,"fair utilization"
"59","3065","Girard & Hutchinson",39.970699,-75.151711,5022,"underutilized"
"60","3066","19th & Lombard",39.94561,-75.173477,28833,"adequate utilization"
"61","3067","39th & Mt. Vernon, Mantua Haverford Community Center",39.964111,-75.19973,4317,"underutilized"
"62","3068","Broad & Federal",39.93549,-75.167107,20587,"fair utilization"
"63","3069","4th & Christian",39.937038,-75.150383,15829,"fair utilization"
"64","3070","Spring Garden Station, MFL",39.960621,-75.139832,7767,"underutilized"
"65","3071","32nd & Baring, Drexel Park",39.961731,-75.187881,10500,"underutilized"
