"","start_station_name","end_station_name","volume","start_lon","start_lat","end_lon","end_lat"
"1","Philadelphia Museum of Art","Philadelphia Museum of Art",117891,-75.180031,39.964581,-75.18003,39.96458
"2","Race Street Pier","Race Street Pier",8900,-75.139793,39.95295,-75.13979,39.95295
"3","20th & Sansom","20th & Sansom",7716,-75.173698,39.95121,-75.1737,39.95121
"4","Spring Garden Station, BSL","Spring Garden Station, BSL",4748,-75.161743,39.96265,-75.16174,39.96265
"5","Pennsylvania & Fairmount Perelman Building","Pennsylvania & Fairmount Perelman Building",4654,-75.17952,39.96759,-75.17952,39.96759
"6","25th & Locust","Philadelphia Museum of Art",4527,-75.180969,39.949741,-75.18003,39.96458
"7","38th & Powelton","38th & Powelton",4328,-75.196899,39.959492,-75.1969,39.95949
"8","Philadelphia Museum of Art","15th & Market",4035,-75.180031,39.964581,-75.16551,39.95316
"9","Barnes Foundation","Philadelphia Museum of Art",4020,-75.171982,39.96006,-75.18003,39.96458
"10","25th & Locust","25th & Locust",3921,-75.180969,39.949741,-75.18097,39.94974
